Generation,Best_Fitness,Avg_Fitness,Success_Rate_Perc,Species_Count,Expert_Help_Weight
170,237.43,3.08,0.0,5,0.0
171,606.1,17.81,0.0,5,0.0
172,0.1,0.1,0.0,5,0.0
173,4506.09,48.55,0.2,5,0.0
174,279.78,17.64,0.0,5,0.0
175,317.96,34.52,0.0,5,0.0
176,114.67,8.9,0.0,5,0.0
177,435.36,7.09,0.0,5,0.0
178,272.68,8.51,0.0,5,0.0
179,1726.6,33.17,0.0,5,0.0
180,4517.22,36.5,0.2,5,0.0
181,1008.93,35.35,0.0,5,0.0
182,223.97,22.94,0.0,5,0.0
183,2773.65,58.09,0.0,5,0.0
184,13.14,0.17,0.0,5,0.0
185,234.42,38.92,0.0,5,0.0
186,279.41,59.75,0.0,5,0.0
187,316.31,16.93,0.0,5,0.0
188,56.09,5.02,0.0,5,0.0
189,4499.21,36.52,0.39,5,0.0
190,525.08,23.42,0.0,5,0.0
191,1171.15,28.93,0.0,5,0.0
192,228.05,5.79,0.0,5,0.0
193,281.27,14.15,0.0,5,0.0
194,76.41,8.05,0.0,5,0.0
195,4505.11,86.82,1.17,5,0.0
196,47.41,8.33,0.0,5,0.0
197,289.22,28.48,0.0,5,0.0
198,405.37,44.81,0.0,5,0.0
199,861.4,11.79,0.0,5,0.0
200,4493.58,289.43,3.71,5,0.0
